iteration,n,mean,p25,p50,p75,max
0,200,0.44042416936856665,0.3779002975730613,0.43942219127972015,0.49659342046729227,0.6494290041302895
1,200,0.44836065064309344,0.39550607914301605,0.44542137543721166,0.4946212707809732,0.6346699270357345
2,200,0.44022165545066483,0.37952878288878966,0.43930472738992005,0.4955669515928952,0.705588210931763
3,200,0.4412636194500059,0.37820273568250573,0.43841496810098707,0.49933462409858387,0.663448873269424
4,200,0.4440358719185926,0.39358927032004304,0.44217354796775477,0.48963054158302,0.6593652096010942
5,200,0.4497746348939961,0.4004758899687987,0.4488683473895728,0.49135593685350265,0.6445282693428158
6,200,0.4524072350527986,0.3958412131845063,0.44860057608979326,0.5126865644754872,0.6419963310800928
7,200,0.44552022822657855,0.3960416971682608,0.44018874406551695,0.4953011333780628,0.6509851382935645
8,200,0.45543185277227877,0.40663502540870383,0.4464661461742814,0.5068719575372,0.66886689721425
9,200,0.44943716063735806,0.3881022877630972,0.4489968361799128,0.5035639014109696,0.658639676709411
10,200,0.4515966908445475,0.40165673572311505,0.44480331394507,0.493644848084857,0.6571112449930112
11,200,0.4551847308985834,0.40425860064163877,0.4581412334521546,0.4985190645403432,0.6903061772642353
12,200,0.4573920833465537,0.40122866181267736,0.45852789658326226,0.4998202678490636,0.6940950849720785
13,200,0.44201584335810634,0.38493853041113657,0.4293983652453292,0.5020470618676399,0.6834769090173743
14,200,0.45666525653453827,0.4042059844721983,0.452792151932552,0.5063872081531935,0.6384462113309682
15,200,0.4553682914847826,0.4014003413255281,0.46181229574720395,0.5078073893537653,0.657580650222745
16,200,0.4567452391368407,0.4066067239238692,0.4513848556906703,0.49681542161443976,0.6541356214176769
17,200,0.461190900388602,0.40696113397574474,0.46519635778182045,0.5129308537465693,0.6931528522716977
18,200,0.45927709960840857,0.4009709542570831,0.45325379153563017,0.5141736830835222,0.6625023201099474
19,200,0.4659614593883631,0.41457294063327405,0.4640427423367174,0.5126703668191527,0.6686036675193497
20,200,0.47010394191792926,0.4071395312068127,0.46990785942168917,0.5278488924527865,0.6776559337746157
21,200,0.46274105385642067,0.4050448854606146,0.46028242401799474,0.5179087193718871,0.6368836104833487
22,200,0.47189796523697425,0.41513856283378675,0.47946408673984675,0.5231291366977271,0.6705907584021777
23,200,0.4687661109282715,0.4118884872158108,0.46901667367667654,0.5272556315181293,0.6630864499449488
24,200,0.46728442751121363,0.4089223942855698,0.45498176809301133,0.5229152520857195,0.6738495382396583
25,200,0.4709753451977726,0.4099952105754606,0.46861423658594337,0.5274265429411704,0.6966855377864709
26,200,0.4731031012336732,0.41520565960250067,0.47419838447720025,0.5166556807714603,0.6927984316222005
27,200,0.4827836751371703,0.4340388215040932,0.48337602248625494,0.5320324389354888,0.6475237777517124
28,200,0.47762678891721044,0.42056610366783265,0.47264574031820816,0.5331835090104831,0.6717472183046791
29,200,0.46890900485715736,0.41753217495723643,0.4690427927824806,0.5249200466934631,0.6704475842974272
30,200,0.4734709003245728,0.4116527575723786,0.4693891341442492,0.5399182438516529,0.6987009749382793
31,200,0.4773078597511301,0.4250060674545757,0.47868101149760617,0.5324938643336025,0.6543385667964097
32,200,0.48264417386874386,0.42736206024431506,0.4891130160949575,0.527661914130608,0.6904183385433308
33,200,0.4816110406160396,0.4361926436911235,0.474410844255214,0.5322972658162722,0.6599121895739919
34,200,0.48418587740312113,0.4310787721772462,0.4868989235567165,0.5376884526360112,0.6455933198509458
35,200,0.481626465358443,0.4228525549438691,0.4769971355428617,0.5390436156480771,0.7081066210871348
36,200,0.4846456927029576,0.43231515625305095,0.4840229813564335,0.5328379216064529,0.7010328868882368
37,200,0.4801748660936196,0.4324267488551772,0.48069671949816006,0.5273892819959893,0.7302214412578221
38,200,0.48198974844867964,0.4212349889402597,0.4791935932173849,0.5272184096619686,0.6708059890702341
39,200,0.48577571403874936,0.4353462069196805,0.4859881209483256,0.540326461370815,0.6777696429540575
