mode,source,accuracy,precision,recall,f1,tp,tn,fp,fn
zero_shot,overall,0.79,0.47058823529411764,0.4,0.4324324324324324,16.0,142.0,18.0,24.0
zero_shot,bigram,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
zero_shot,random,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
zero_shot,real_oe,0.575,0.0,0.0,0.0,0.0,23.0,17.0,0.0
zero_shot,real_sp,0.4,1.0,0.4,0.5714285714285715,16.0,0.0,0.0,24.0
zero_shot,transformer,0.975,0.0,0.0,0.0,0.0,39.0,1.0,0.0
few_shot,overall,0.815,0.6153846153846154,0.2,0.30188679245283023,8.0,155.0,5.0,32.0
few_shot,bigram,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
few_shot,random,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
few_shot,real_oe,0.9,0.0,0.0,0.0,0.0,36.0,4.0,0.0
few_shot,real_sp,0.2,1.0,0.2,0.33333333333333337,8.0,0.0,0.0,32.0
few_shot,transformer,0.975,0.0,0.0,0.0,0.0,39.0,1.0,0.0
